ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,City,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
1,Service Occupations,4,Service Occupations,16,Personal Care & Service Occupations,2019,2019,04000US37,North Carolina,12747,1030.1927004206543,0.9858164881573329,Charlotte,16000US3712000,charlotte-nc,43476,5192,11901,7.108646332240988,41651,4.381647499459797,2.772135546924271
1,Service Occupations,5,Protective Service Occupations,12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2019,2019,04000US37,North Carolina,4477,496.9597569220268,0.8298418675774101,Charlotte,16000US3712000,charlotte-nc,62399,7720,4467,0.2238638907544213,60536,3.0775075987841944,0.973629155
1,Service Occupations,5,Protective Service Occupations,13,Law Enforcement Workers Including Supervisors,2019,2019,04000US37,North Carolina,1982,382.9621391208275,0.4497529320106525,Charlotte,16000US3712000,charlotte-nc,99462,6151,1938,2.2703818369453046,96224,3.3650648486863983,0.4310326079864993
2,Sales & Office Occupations,6,Sales & Office Occupations,17,Sales & Related Occupations,2019,2019,04000US37,North Carolina,52853,1730.3956195043954,1.1252027367755435,Charlotte,16000US3712000,charlotte-nc,77461,3487,51660,2.3093302361595045,75831,2.149516688425578,11.494130388451284
2,Sales & Office Occupations,6,Sales & Office Occupations,18,Office & Administrative Support Occupations,2019,2019,04000US37,North Carolina,49250,1546.5267537291427,0.9383420529106143,Charlotte,16000US3712000,charlotte-nc,69984,2426,48106,2.3780817361659667,68292,2.477596204533474,10.710573129836067
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2019,2019,04000US37,North Carolina,492,197.61831898890347,0.1582227678224965,Charlotte,16000US3712000,charlotte-nc,36317,12699,453,8.609271523178808,36067,0.6931544070757202,0.10699699451531668
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,Construction & Extraction Occupations,2019,2019,04000US37,North Carolina,22664,1268.5633606564554,0.9670560260533276,Charlotte,16000US3712000,charlotte-nc,57119,2305,21612,4.867666111419582,55387,3.127087583729034,4.9288209018193845
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2019,2019,04000US37,North Carolina,9857,709.4822055555728,0.6951604658460062,Charlotte,16000US3712000,charlotte-nc,77722,12616,9607,2.6022691787238474,73274,6.070366023418948,2.143636941
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,Production Occupations,2019,2019,04000US37,North Carolina,18356,1020.6845741951819,0.6975110428799919,Charlotte,16000US3712000,charlotte-nc,56916,5057,18344,0.065416485,54871,3.7269231470175503,3.991944779112099
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,Transportation Occupations,2019,2019,04000US37,North Carolina,16951,1038.6462342876905,0.9707449130218934,Charlotte,16000US3712000,charlotte-nc,63258,5270,15980,6.076345431789737,62872,0.613945795,3.686394419
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,Management Occupations,2018,2018,04000US37,North Carolina,52150,1453.3771017874199,1.1723765760819649,Charlotte,16000US3712000,charlotte-nc,147258,6550,51652,0.96414466,148700,-0.969737727,11.716020731627864
