EVENT_TYPE,date,BEGIN_DATETIME,END_DATETIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,time_diff,EVENT_TYPE_col,date,weather_id
Thunderstorm Wind,2012-07-09,2012-07-09 14:35:00,2012-07-09 14:53:00.000,35.120000000000005,-80.845,35.120000000000005,-80.845,0 days 00:18:00,Thunderstorm Wind,2012-07-09,84
Thunderstorm Wind,2012-07-10,2012-07-10 17:15:00,2012-07-10 17:24:00.000,35.13,-80.84,35.025,-80.812,0 days 00:09:00,Thunderstorm Wind,2012-07-10,85
Thunderstorm Wind,2012-07-16,2012-07-16 16:02:00,2012-07-16 16:10:00.000,35.27,-80.88,35.19,-80.85,0 days 00:08:00,Thunderstorm Wind,2012-07-16,86
Thunderstorm Wind,2012-07-27,2012-07-27 16:51:00,2012-07-27 17:34:31.875,35.5,-80.85,35.5,-80.85,0 days 00:43:31.875000,Thunderstorm Wind,2012-07-27,87
Thunderstorm Wind,2012-08-03,2012-08-03 18:10:00,2012-08-03 18:53:31.875,35.35,-80.93,35.35,-80.93,0 days 00:43:31.875000,Thunderstorm Wind,2012-08-03,88
Thunderstorm Wind,2012-08-08,2012-08-08 14:26:00,2012-08-08 15:09:31.875,35.23,-80.75,35.23,-80.75,0 days 00:43:31.875000,Thunderstorm Wind,2012-08-08,89
Thunderstorm Wind,2013-04-19,2013-04-19 15:00:00,2013-04-19 15:43:31.875,35.24,-80.78,35.24,-80.78,0 days 00:43:31.875000,Thunderstorm Wind,2013-04-19,90
Thunderstorm Wind,2013-05-21,2013-05-21 14:35:00,2013-05-21 15:18:31.875,35.14,-80.82,35.14,-80.82,0 days 00:43:31.875000,Thunderstorm Wind,2013-05-21,91
Thunderstorm Wind,2013-06-10,2013-06-10 13:58:00,2013-06-10 14:17:00.000,35.14,-80.97,35.3,-80.71,0 days 00:19:00,Thunderstorm Wind,2013-06-10,92
Thunderstorm Wind,2013-06-13,2013-06-13 16:09:00,2013-06-13 16:47:00.000,35.2914,-80.9252,35.17,-80.65,0 days 00:38:00,Thunderstorm Wind,2013-06-13,93
Thunderstorm Wind,2013-06-28,2013-06-28 19:12:00,2013-06-28 19:55:31.875,35.44,-80.88,35.44,-80.88,0 days 00:43:31.875000,Thunderstorm Wind,2013-06-28,94
Thunderstorm Wind,2013-07-17,2013-07-17 15:17:00,2013-07-17 16:00:31.875,35.42,-80.88,35.42,-80.88,0 days 00:43:31.875000,Thunderstorm Wind,2013-07-17,95
Thunderstorm Wind,2013-07-24,2013-07-24 17:14:00,2013-07-24 18:33:00.000,35.14,-80.92,35.14,-80.92,0 days 01:19:00,Thunderstorm Wind,2013-07-24,96
Thunderstorm Wind,2014-05-09,2014-05-09 16:50:00,2014-05-09 17:33:31.875,35.39,-80.91,35.44,-80.84,0 days 00:43:31.875000,Thunderstorm Wind,2014-05-09,97
Thunderstorm Wind,2014-05-15,2014-05-15 05:52:00,2014-05-15 05:57:00.000,35.1891,-80.9001,35.23,-80.8854,0 days 00:05:00,Thunderstorm Wind,2014-05-15,98
Thunderstorm Wind,2014-05-29,2014-05-29 17:12:00,2014-05-29 17:55:31.875,35.4354,-80.8688,35.3791,-80.9002,0 days 00:43:31.875000,Thunderstorm Wind,2014-05-29,99
Thunderstorm Wind,2014-06-10,2014-06-10 17:33:00,2014-06-10 18:16:31.875,35.4666,-80.8768,35.4666,-80.8768,0 days 00:43:31.875000,Thunderstorm Wind,2014-06-10,100
Thunderstorm Wind,2014-06-11,2014-06-11 16:45:00,2014-06-11 17:28:31.875,35.2567,-80.8636,35.2567,-80.8636,0 days 00:43:31.875000,Thunderstorm Wind,2014-06-11,101
Thunderstorm Wind,2014-06-13,2014-06-13 18:33:00,2014-06-13 19:16:31.875,35.39,-80.92,35.39,-80.92,0 days 00:43:31.875000,Thunderstorm Wind,2014-06-13,102
Thunderstorm Wind,2014-06-16,2014-06-16 13:52:00,2014-06-16 14:35:31.875,35.47,-80.81,35.43,-80.81,0 days 00:43:31.875000,Thunderstorm Wind,2014-06-16,103
Thunderstorm Wind,2014-07-03,2014-07-03 17:50:00,2014-07-03 18:20:00.000,35.225,-80.85,35.17,-80.875,0 days 00:30:00,Thunderstorm Wind,2014-07-03,104
Thunderstorm Wind,2014-07-09,2014-07-09 14:58:00,2014-07-09 15:41:31.875,35.2,-80.98,35.2,-80.98,0 days 00:43:31.875000,Thunderstorm Wind,2014-07-09,105
Thunderstorm Wind,2014-07-15,2014-07-15 16:15:00,2014-07-15 16:45:00.000,35.15,-80.7,35.15,-80.7,0 days 00:30:00,Thunderstorm Wind,2014-07-15,106
Thunderstorm Wind,2015-06-02,2015-06-02 13:42:00,2015-06-02 14:25:31.875,35.09,-80.82,35.09,-80.82,0 days 00:43:31.875000,Thunderstorm Wind,2015-06-02,107
Thunderstorm Wind,2015-06-22,2015-06-22 17:26:00,2015-06-22 18:09:31.875,35.28,-80.72,35.28,-80.72,0 days 00:43:31.875000,Thunderstorm Wind,2015-06-22,108
Thunderstorm Wind,2015-06-24,2015-06-24 17:18:00,2015-06-24 18:01:31.875,35.08,-80.89,35.08,-80.89,0 days 00:43:31.875000,Thunderstorm Wind,2015-06-24,109
Thunderstorm Wind,2015-06-26,2015-06-26 20:05:00,2015-06-26 20:54:00.000,35.14,-80.85,35.14,-80.85,0 days 00:49:00,Thunderstorm Wind,2015-06-26,110
Thunderstorm Wind,2015-06-27,2015-06-27 16:55:00,2015-06-27 17:38:31.875,35.09,-80.85,35.09,-80.85,0 days 00:43:31.875000,Thunderstorm Wind,2015-06-27,111
Thunderstorm Wind,2015-07-08,2015-07-08 16:40:00,2015-07-08 17:23:31.875,35.23,-80.84,35.24,-80.84,0 days 00:43:31.875000,Thunderstorm Wind,2015-07-08,112
Thunderstorm Wind,2015-07-18,2015-07-18 12:41:00,2015-07-18 13:05:00.000,35.325,-80.92,35.23,-80.84,0 days 00:24:00,Thunderstorm Wind,2015-07-18,113
Thunderstorm Wind,2015-07-20,2015-07-20 19:00:00,2015-07-20 19:43:31.875,35.38,-80.86,35.42,-80.84,0 days 00:43:31.875000,Thunderstorm Wind,2015-07-20,114
Thunderstorm Wind,2015-08-11,2015-08-11 14:54:00,2015-08-11 20:23:00.000,35.25,-80.74000000000001,35.25,-80.74000000000001,0 days 05:29:00,Thunderstorm Wind,2015-08-11,115
Thunderstorm Wind,2015-08-19,2015-08-19 15:15:00,2015-08-19 15:58:31.875,35.19,-80.87,35.19,-80.87,0 days 00:43:31.875000,Thunderstorm Wind,2015-08-19,116
Thunderstorm Wind,2015-09-10,2015-09-10 16:30:00,2015-09-10 18:05:00.000,35.35,-80.755,35.35,-80.755,0 days 01:35:00,Thunderstorm Wind,2015-09-10,117
Thunderstorm Wind,2016-02-03,2016-02-03 12:19:00,2016-02-03 12:33:00.000,35.241,-80.858,35.25,-80.67,0 days 00:14:00,Thunderstorm Wind,2016-02-03,118
Thunderstorm Wind,2016-02-24,2016-02-24 12:27:00,2016-02-24 12:33:00.000,35.21,-80.92,35.2,-80.83,0 days 00:06:00,Thunderstorm Wind,2016-02-24,119
Thunderstorm Wind,2016-05-02,2016-05-02 14:54:00,2016-05-02 15:37:31.875,35.45,-80.88,35.44,-80.85,0 days 00:43:31.875000,Thunderstorm Wind,2016-05-02,120
Thunderstorm Wind,2016-05-12,2016-05-12 18:49:00,2016-05-12 18:53:00.000,35.1,-80.78,35.11,-80.69,0 days 00:04:00,Thunderstorm Wind,2016-05-12,121
Thunderstorm Wind,2016-05-21,2016-05-21 18:03:00,2016-05-21 18:08:00.000,35.26,-80.89,35.24,-80.86,0 days 00:05:00,Thunderstorm Wind,2016-05-21,122
Thunderstorm Wind,2016-06-14,2016-06-14 19:13:00,2016-06-14 19:56:31.875,35.2,-80.77,35.21,-80.76,0 days 00:43:31.875000,Thunderstorm Wind,2016-06-14,123
Thunderstorm Wind,2016-06-29,2016-06-29 15:44:00,2016-06-29 16:27:31.875,35.5,-80.85,35.5,-80.85,0 days 00:43:31.875000,Thunderstorm Wind,2016-06-29,124
Thunderstorm Wind,2016-07-05,2016-07-05 15:27:00,2016-07-05 15:45:00.000,35.191,-80.851,35.16,-80.73,0 days 00:18:00,Thunderstorm Wind,2016-07-05,125
Thunderstorm Wind,2016-07-08,2016-07-08 19:31:00,2016-07-08 19:40:00.000,35.281,-80.913,35.23,-80.79,0 days 00:09:00,Thunderstorm Wind,2016-07-08,126
Thunderstorm Wind,2016-07-11,2016-07-11 16:35:00,2016-07-11 16:42:00.000,35.259,-80.74,35.263,-80.67,0 days 00:07:00,Thunderstorm Wind,2016-07-11,127
Thunderstorm Wind,2016-07-21,2016-07-21 13:53:00,2016-07-21 13:56:00.000,35.245,-80.861,35.207,-80.816,0 days 00:03:00,Thunderstorm Wind,2016-07-21,128
Thunderstorm Wind,2016-08-02,2016-08-02 17:16:00,2016-08-02 17:59:31.875,35.232,-80.73,35.232,-80.73,0 days 00:43:31.875000,Thunderstorm Wind,2016-08-02,129
Thunderstorm Wind,2016-08-15,2016-08-15 17:48:00,2016-08-15 18:31:31.875,35.21,-81.0,35.21,-81.0,0 days 00:43:31.875000,Thunderstorm Wind,2016-08-15,130
Thunderstorm Wind,2016-08-17,2016-08-17 16:38:00,2016-08-17 17:21:31.875,35.207,-80.845,35.198,-80.836,0 days 00:43:31.875000,Thunderstorm Wind,2016-08-17,131
Thunderstorm Wind,2016-09-28,2016-09-28 18:15:00,2016-09-28 18:58:31.875,35.243,-80.692,35.243,-80.692,0 days 00:43:31.875000,Thunderstorm Wind,2016-09-28,132
Tornado,2012-03-03,2012-03-03 23:05:00,2012-03-03 23:07:00.000,35.257,-80.687,35.264,-80.659,0 days 00:02:00,Tornado,2012-03-03,133
Tornado,2014-05-15,2014-05-15 05:46:00,2014-05-15 05:47:00.000,35.1297,-80.9008,35.1364,-80.8974,0 days 00:01:00,Tornado,2014-05-15,134
Tornado,2016-11-30,2016-11-30 18:26:00,2016-11-30 18:29:00.000,35.124,-80.953,35.143,-80.918,0 days 00:03:00,Tornado,2016-11-30,135
